Test Type,Operation,Fernet Time,HE Time,HE X Times Longer
Integer,setup,0.0018478870391845704,0.020059025287628172,10.855114442752818
Integer,encryption,0.00017410516738891602,0.3968394994735718,2279.309140705238
Integer,decryption,0.00015774965286254882,0.0496637225151062,314.82619209551876
Integer,addition,9.894371032714845e-07,0.0009121060371398926,921.8433734939758
Integer,subtraction,5.7220458984375e-07,0.0008188366889953613,1431.0208333333333
Integer,multiplication,5.364418029785156e-07,0.16205595731735228,302094.19999999995
Integer,re_encryption,0.00023505687713623046,,
Float 32 decimals,setup,5.793571472167969e-06,0.020777297019958497,3586.267489711934
Float 32 decimals,encryption,0.00016878843307495118,0.43758448362350466,2592.5027897450386
Float 32 decimals,decryption,0.00015723705291748047,0.05541282892227173,352.4158453373768
Float 32 decimals,addition,7.867813110351562e-07,0.0008402466773986816,1067.9545454545455
Float 32 decimals,subtraction,6.318092346191406e-07,0.0007886648178100586,1248.2641509433963
Float 32 decimals,multiplication,5.841255187988282e-07,0.17171711921691896,293972.97959183675
Float 32 decimals,re_encryption,0.0002347588539123535,,
Float 3 decimals,setup,1.1479854583740234e-05,0.02026538848876953,1765.3001038421598
Float 3 decimals,encryption,0.00018063783645629882,0.4018385887145996,2224.5538177258627
Float 3 decimals,decryption,0.0001746535301208496,0.053901171684265135,308.61770527609036
Float 3 decimals,addition,9.775161743164062e-07,0.0008131742477416992,831.8780487804878
Float 3 decimals,subtraction,7.152557373046875e-07,0.0007697701454162598,1076.2166666666667
Float 3 decimals,multiplication,6.437301635742188e-07,0.16188136339187623,251473.94444444444
Float 3 decimals,re_encryption,0.0002490997314453125,,
