Test Type,Operation,Fernet Time (s),HE Time (s),HE X Times Longer
Integer,setup,0.057534217834472656,0.22636175155639648,3.934384790067795
Integer,encryption,0.0016520023345947266,18.148453378677367,10985.731072304805
Integer,decryption,0.001571798324584961,0.5151049137115479,327.71692503716287
Integer,addition,1.277923583984375e-05,0.010987091064453124,859.7611940298507
Integer,subtraction,7.104873657226563e-06,0.010088634490966798,1419.9597315436242
Integer,multiplication,7.3909759521484375e-06,1.8393625259399413,248865.9870967742
Integer,re_encryption,0.0022844791412353514,,
Float 32 decimals (tolerance 5.866e+18),setup,5.5170059204101564e-05,0.22714333534240722,4117.148660328436
Float 32 decimals (tolerance 5.866e+18),encryption,0.0015277862548828125,18.21402907371521,11921.843789013732
Float 32 decimals (tolerance 5.866e+18),decryption,0.001507711410522461,0.5525370121002198,366.47398715961924
Float 32 decimals (tolerance 5.866e+18),addition,1.2350082397460937e-05,0.009454822540283203,765.5675675675676
Float 32 decimals (tolerance 5.866e+18),subtraction,7.486343383789062e-06,0.009389686584472656,1254.2420382165606
Float 32 decimals (tolerance 5.866e+18),multiplication,7.200241088867187e-06,1.8318907260894775,254420.74834437086
Float 32 decimals (tolerance 5.866e+18),re_encryption,0.0021653175354003906,,
Float 10 decimals (tolerance 5.710e-03),setup,5.369186401367187e-05,0.227241849899292,4232.333037300178
Float 10 decimals (tolerance 5.710e-03),encryption,0.001650524139404297,18.197337913513184,11025.187380828567
Float 10 decimals (tolerance 5.710e-03),decryption,0.0014354705810546875,0.5528478622436523,385.1335370714855
Float 10 decimals (tolerance 5.710e-03),addition,1.277923583984375e-05,0.009385108947753906,734.4029850746268
Float 10 decimals (tolerance 5.710e-03),subtraction,7.772445678710938e-06,0.009381437301635742,1207.0122699386502
Float 10 decimals (tolerance 5.710e-03),multiplication,7.724761962890625e-06,1.8347223281860352,237511.82716049385
Float 10 decimals (tolerance 5.710e-03),re_encryption,0.0022432804107666016,,
Float 3 decimals (tolerance 3.348e-01),setup,5.278587341308594e-05,0.22738795280456542,4307.742547425474
Float 3 decimals (tolerance 3.348e-01),encryption,0.001584005355834961,18.18906774520874,11482.95848761251
Float 3 decimals (tolerance 3.348e-01),decryption,0.0014576435089111329,0.5476877212524414,375.73502567961003
Float 3 decimals (tolerance 3.348e-01),addition,1.33514404296875e-05,0.009395599365234375,703.7142857142857
Float 3 decimals (tolerance 3.348e-01),subtraction,7.581710815429688e-06,0.009357833862304687,1234.264150943396
Float 3 decimals (tolerance 3.348e-01),multiplication,7.677078247070313e-06,1.8343025684356689,238932.37888198753
Float 3 decimals (tolerance 3.348e-01),re_encryption,0.00216526985168457,,
